repeat_group_id,group_size,strongest_repeat_level,level1_rows,level2_rows,level3_rows,level1_match_groups,level2_match_groups,listing_ids,historical_folds,historical_fold_count,crossed_historical_folds,group_safe_fold
RG_0143,3,Level 1 - exact duplicate,3,0,0,1,1,103758671|103758407|103758389,1|3|4,3,True,3
RG_0144,3,Level 2 - strong repeat,0,2,1,0,1,103790031|103783585|103782065,4|5,2,True,5
RG_0145,2,Level 1 - exact duplicate,2,0,0,1,1,103538513|103407021,3|4,2,True,1
RG_0146,2,Level 3 - possible repeat,0,0,2,0,0,102652094|102652195,2|5,2,True,3
RG_0147,2,Level 3 - possible repeat,0,0,2,0,0,103492444|103741989,2|4,2,True,5
RG_0148,2,Level 3 - possible repeat,0,0,2,0,0,103588026|103607231,4|5,2,True,4
RG_0149,2,Level 3 - possible repeat,0,0,2,0,0,103180566|103522532,2,1,False,4
RG_0150,2,Level 3 - possible repeat,0,0,2,0,0,103623086|103662225,2|3,2,True,1
RG_0151,2,Level 3 - possible repeat,0,0,2,0,0,103678086|103787665,1|2,2,True,3
RG_0152,2,Level 1 - exact duplicate,2,0,0,1,1,102229930|102999145,3|4,2,True,3
RG_0153,2,Level 3 - possible repeat,0,0,2,0,0,102999030|102843252,3|5,2,True,1
RG_0154,2,Level 3 - possible repeat,0,0,2,0,0,103667717|102951643,1|2,2,True,5
RG_0155,2,Level 3 - possible repeat,0,0,2,0,0,103787933|103781930,2|5,2,True,5
RG_0156,2,Level 3 - possible repeat,0,0,2,0,0,102663507|100916143,2|5,2,True,3
RG_0157,3,Level 2 - strong repeat,0,2,1,0,1,103493595|103190155|101765449,2|4,2,True,3
RG_0158,2,Level 3 - possible repeat,0,0,2,0,0,103458653|103349884,2|5,2,True,1
RG_0159,2,Level 1 - exact duplicate,2,0,0,1,1,103446635|103470394,3|5,2,True,3
RG_0160,2,Level 3 - possible repeat,0,0,2,0,0,103499703|100857405,2|4,2,True,3
RG_0161,2,Level 3 - possible repeat,0,0,2,0,0,103786760|103784859,4|5,2,True,5
RG_0162,2,Level 3 - possible repeat,0,0,2,0,0,103786756|103784825,4,1,False,5
RG_0163,2,Level 3 - possible repeat,0,0,2,0,0,103403632|103689459,4|5,2,True,2
RG_0164,2,Level 3 - possible repeat,0,0,2,0,0,103411581|103383040,2|3,2,True,2
RG_0165,2,Level 3 - possible repeat,0,0,2,0,0,101967616|103782725,3|5,2,True,4
RG_0166,2,Level 3 - possible repeat,0,0,2,0,0,101997596|103784867,1|4,2,True,4
RG_0167,2,Level 3 - possible repeat,0,0,2,0,0,103070459|102440656,2|4,2,True,1
RG_0168,2,Level 3 - possible repeat,0,0,2,0,0,103785444|103783611,1|5,2,True,4
RG_0169,2,Level 3 - possible repeat,0,0,2,0,0,103785239|103643436,2,1,False,2
RG_0170,2,Level 3 - possible repeat,0,0,2,0,0,103785113|100890052,2|3,2,True,3
RG_0171,2,Level 3 - possible repeat,0,0,2,0,0,102098877|103269285,4|5,2,True,1
RG_0172,2,Level 3 - possible repeat,0,0,2,0,0,103115286|100977186,1|4,2,True,4
RG_0173,2,Level 3 - possible repeat,0,0,2,0,0,103784800|103783318,1|3,2,True,5
RG_0174,2,Level 1 - exact duplicate,2,0,0,1,1,103726720|103446974,3|4,2,True,1
RG_0175,2,Level 3 - possible repeat,0,0,2,0,0,103557612|103515258,1,1,False,1
RG_0176,2,Level 3 - possible repeat,0,0,2,0,0,103760077|103659863,4,1,False,1
RG_0177,2,Level 3 - possible repeat,0,0,2,0,0,103173608|98927160,1|5,2,True,1
RG_0178,2,Level 1 - exact duplicate,2,0,0,1,1,103784759|103784715,1|5,2,True,1
RG_0179,2,Level 3 - possible repeat,0,0,2,0,0,103185355|102455704,1|5,2,True,1
RG_0180,2,Level 3 - possible repeat,0,0,2,0,0,103579465|103783372,1,1,False,1
RG_0181,2,Level 1 - exact duplicate,2,0,0,1,1,102315606|102498879,2|3,2,True,5
RG_0182,2,Level 3 - possible repeat,0,0,2,0,0,103784556|103784515,1|3,2,True,4
RG_0183,2,Level 3 - possible repeat,0,0,2,0,0,102465842|102785259,1|3,2,True,4
RG_0184,2,Level 3 - possible repeat,0,0,2,0,0,103784472|103784006,2,1,False,1
RG_0185,2,Level 3 - possible repeat,0,0,2,0,0,103342670|103669918,3,1,False,1
RG_0186,3,Level 3 - possible repeat,0,0,3,0,0,103440286|103780408|103780382,2|5,2,True,3
RG_0187,2,Level 3 - possible repeat,0,0,2,0,0,103258798|101851861,1|2,2,True,5
RG_0188,2,Level 3 - possible repeat,0,0,2,0,0,103659942|102898823,4|5,2,True,2
RG_0189,3,Level 3 - possible repeat,0,0,3,0,0,102784672|102797907|102803700,1|4|5,3,True,1
RG_0190,2,Level 3 - possible repeat,0,0,2,0,0,103192227|103476884,2|4,2,True,5
RG_0191,2,Level 3 - possible repeat,0,0,2,0,0,103784103|103782625,4,1,False,5
RG_0192,2,Level 3 - possible repeat,0,0,2,0,0,102261623|102612602,4|5,2,True,3
RG_0193,2,Level 3 - possible repeat,0,0,2,0,0,101851788|103258422,1|5,2,True,1
RG_0194,2,Level 3 - possible repeat,0,0,2,0,0,102470947|102732169,3|4,2,True,4
RG_0195,2,Level 3 - possible repeat,0,0,2,0,0,103114954|103113406,2,1,False,1
RG_0196,2,Level 3 - possible repeat,0,0,2,0,0,103783850|103782105,2|4,2,True,2
RG_0197,2,Level 3 - possible repeat,0,0,2,0,0,102784712|103159221,1|2,2,True,1
RG_0198,2,Level 3 - possible repeat,0,0,2,0,0,102207503|103780322,1,1,False,5
RG_0199,2,Level 3 - possible repeat,0,0,2,0,0,103252456|103251793,4|5,2,True,3
RG_0200,3,Level 3 - possible repeat,0,0,3,0,0,103193773|102287856|103193743,2|3|4,3,True,2
RG_0201,2,Level 3 - possible repeat,0,0,2,0,0,103783464|103783120,1|3,2,True,5
RG_0202,2,Level 1 - exact duplicate,2,0,0,1,1,92021859|101898183,1|4,2,True,5
RG_0203,2,Level 3 - possible repeat,0,0,2,0,0,103783227|103557523,3|4,2,True,5
RG_0204,2,Level 3 - possible repeat,0,0,2,0,0,101257243|101042014,4|5,2,True,1
RG_0205,2,Level 3 - possible repeat,0,0,2,0,0,101900153|101897522,4|5,2,True,4
RG_0206,2,Level 3 - possible repeat,0,0,2,0,0,101687435|102451678,2|5,2,True,3
RG_0207,2,Level 3 - possible repeat,0,0,2,0,0,103057728|103340412,3|5,2,True,5
RG_0208,2,Level 3 - possible repeat,0,0,2,0,0,103783144|103283797,3|4,2,True,3
RG_0209,2,Level 3 - possible repeat,0,0,2,0,0,101190108|101189876,5,1,False,2
RG_0210,2,Level 3 - possible repeat,0,0,2,0,0,100417213|100322106,2|4,2,True,3
RG_0211,2,Level 3 - possible repeat,0,0,2,0,0,102470889|102470974,1|2,2,True,2
RG_0212,2,Level 3 - possible repeat,0,0,2,0,0,103783027|103780160,2|4,2,True,1
RG_0213,2,Level 3 - possible repeat,0,0,2,0,0,101255961|101239391,1|4,2,True,2
RG_0214,2,Level 3 - possible repeat,0,0,2,0,0,101519139|103382831,1|5,2,True,3
RG_0215,2,Level 3 - possible repeat,0,0,2,0,0,101121674|101122065,2,1,False,1
RG_0216,2,Level 1 - exact duplicate,2,0,0,1,0,103492971|103492972,1|3,2,True,4
RG_0217,2,Level 3 - possible repeat,0,0,2,0,0,103601485|103601623,1|3,2,True,5
RG_0218,2,Level 3 - possible repeat,0,0,2,0,0,103258889|102352833,4|5,2,True,1
RG_0219,2,Level 3 - possible repeat,0,0,2,0,0,102197544|96905594,3,1,False,1
RG_0220,2,Level 3 - possible repeat,0,0,2,0,0,103259332|103159773,2|3,2,True,2
RG_0221,2,Level 3 - possible repeat,0,0,2,0,0,101518072|102437336,2|4,2,True,2
RG_0222,2,Level 3 - possible repeat,0,0,2,0,0,101710750|101710780,1|5,2,True,2
RG_0223,2,Level 3 - possible repeat,0,0,2,0,0,103782200|103780242,3|5,2,True,3
RG_0224,3,Level 3 - possible repeat,0,0,3,0,0,102515617|102451522|102380577,1|3,2,True,4
RG_0225,2,Level 1 - exact duplicate,2,0,0,1,1,102138231|103464263,3|5,2,True,4
RG_0226,2,Level 3 - possible repeat,0,0,2,0,0,103316728|103449275,3|4,2,True,5
RG_0227,2,Level 3 - possible repeat,0,0,2,0,0,101737502|102796617,1|3,2,True,2
RG_0228,2,Level 3 - possible repeat,0,0,2,0,0,103434959|103434910,3|4,2,True,2
RG_0229,2,Level 3 - possible repeat,0,0,2,0,0,97158710|101688647,2|5,2,True,4
RG_0230,2,Level 1 - exact duplicate,2,0,0,1,1,103780877|103780151,1|4,2,True,1
RG_0231,2,Level 3 - possible repeat,0,0,2,0,0,102612574|102612197,1|4,2,True,3
RG_0232,2,Level 3 - possible repeat,0,0,2,0,0,102784472|102785306,2|3,2,True,2
RG_0233,2,Level 3 - possible repeat,0,0,2,0,0,100786387|100770946,3,1,False,4
RG_0234,2,Level 3 - possible repeat,0,0,2,0,0,103342419|103318967,3,1,False,2
